Num_Acc;id_usager;id_vehicule;num_veh;place;catu;grav;sexe;an_nais;trajet;secu1;secu2;secu3;locp;actp;etatp
202200000001;1 099 700;813 952;A01;1;1;3;1;2008.0;5;2;8;-1;-1; -1;-1
202200000001;1 099 701;813 953;B01;1;1;1;1;1948.0;5;1;8;-1;-1; -1;-1
202200000002;1 099 698;813 950;B01;1;1;4;1;1988.0;9;1;0;-1;0;0;-1
202200000002;1 099 699;813 951;A01;1;1;1;1;1970.0;4;1;0;-1;0;0;-1
202200000003;1 099 696;813 948;A01;1;1;1;1;2002.0;0;1;0;-1;-1; -1;-1
202200000003;1 099 697;813 949;B01;1;1;4;2;1987.0;9;1;0;-1;-1; -1;-1
202200000004;1 099 694;813 947;A01;1;1;1;2;2000.0;0;1;8;-1;-1; -1;-1
202200000004;1 099 695;813 947;A01;10;3;4;2;1967.0;5;0;-1;-1;2;3;1
202200000005;1 099 692;813 945;B01;1;1;1;2;1975.0;0;1;0;-1;-1; -1;-1
202200000005;1 099 693;813 946;A01;1;1;4;2;1996.0;0;1;0;-1;-1; -1;-1
202200000006;1 099 690;813 944;B01;1;1;1;1;1990.0;4;1;0;-1;0;0;-1
202200000006;1 099 691;813 944;B01;10;3;4;2;1990.0;3;0;-1;-1;2;1;1
202200000007;1 099 685;813 940;D01;1;1;1;1;1985.0;-1;1;-1;-1;0;0;-1
202200000007;1 099 686;813 941;A01;2;2;4;1;1999.0;5;8;0;-1;0;0;-1
202200000007;1 099 687;813 941;A01;1;1;4;2;2002.0;5;8;0;-1;0;0;-1
202200000008;1 099 683;813 938;B01;1;1;1;1;1979.0;0;1;-1;-1;0;0;-1
202200000008;1 099 684;813 939;A01;1;1;4;1;2007.0;5;2;-1;-1;0;0;-1
202200000009;1 099 681;813 937;A01;1;1;1;1;1962.0;2;1;0;-1;-1; -1;-1
202200000009;1 099 682;813 937;A01;10;3;4;2;2005.0;2;0;-1;-1;5;1;2
202200000010;1 099 679;813 936;A01;10;3;4;2;2006.0;0;0;-1;-1;2;3;1
202200000010;1 099 680;813 936;A01;1;1;1;1;1951.0;0;1;0;-1;-1; -1;-1
202200000011;1 099 678;813 935;A01;2;2;3;2;2004.0;0;8;0;-1;-1; -1;-1
202200000012;1 099 675;813 933;B01;1;1;3;1;1973.0;0;2;6;-1;0;0;-1
202200000012;1 099 676;813 934;A01;1;1;1;1;1987.0;4;1;4;-1;0;0;-1
202200000013;1 099 673;813 932;A01;10;3;2;1;1976.0;9;0;-1;-1;1;9;1
202200000013;1 099 674;813 932;A01;1;1;1;2;1971.0;4;1;8;-1;0;0;-1
202200000014;1 099 669;813 930;B01;4;2;1;1;2007.0;2;1;0;-1;-1; -1;-1
202200000014;1 099 670;813 930;B01;2;2;4;1;1969.0;3;1;0;-1;-1; -1;-1
202200000014;1 099 671;813 930;B01;1;1;4;2;1987.0;9;1;0;-1;-1; -1;-1
202200000014;1 099 672;813 931;A01;1;1;4;1;1987.0;5;1;0;-1;-1; -1;-1
202200000015;1 099 665;813 928;Z01;3;2;4;1;1993.0;5;1;0;-1;0;0;-1
202200000015;1 099 666;813 928;Z01;3;2;4;2;1991.0;5;1;0;-1;0;0;-1
202200000015;1 099 667;813 929;A01;2;2;4;1;1993.0;9;1;0;-1;0;0;-1
202200000015;1 099 668;813 929;A01;1;1;3;1;1995.0;9;1;0;-1;0;0;-1
