Num_Acc;id_vehicule;num_veh;senc;catv;obs;obsm;choc;manv;motor;occutc
202200000001;813 952;A01;1;2;0;2;1;9;1;
202200000001;813 953;B01;1;7;0;2;2;1;1;
202200000002;813 950;B01;2;7;0;2;8;15;1;
202200000002;813 951;A01;2;10;0;2;1;1;1;
202200000003;813 948;A01;2;7;0;2;1;2;1;
202200000003;813 949;B01;1;7;0;2;4;2;1;
202200000004;813 947;A01;2;7;0;1;3;16;1;
202200000005;813 945;B01;0;7;0;2;4;1;1;
202200000005;813 946;A01;0;7;0;2;1;2;1;
202200000006;813 944;B01;1;10;0;1;3;15;1;
202200000007;813 940;D01;0;7;0;2;1;0;1;
202200000007;813 941;A01;0;7;1;0;1;0;1;
202200000008;813 938;B01;2;10;0;2;6;16;1;
202200000008;813 939;A01;2;2;0;2;1;1;1;
202200000009;813 937;A01;2;7;0;1;1;1;1;
202200000010;813 936;A01;1;7;0;1;2;0;1;
202200000011;813 935;A01;1;7;8;0;7;0;1;
202200000012;813 933;B01;1;33;0;2;1;1;1;
202200000012;813 934;A01;1;10;0;0;6;10;1;
202200000013;813 932;A01;1;7;0;1;1;1;1;
202200000014;813 930;B01;3;7;0;2;1;21;1;
202200000014;813 931;A01;3;7;0;2;1;13;1;
202200000015;813 928;Z01;3;7;0;2;4;23;2;
202200000015;813 929;A01;3;7;7;2;1;2;1;
202200000016;813 926;A01;2;7;0;2;3;22;1;
202200000016;813 927;B01;2;1;0;2;1;1;5;
202200000017;813 924;A01;2;10;0;2;2;16;1;
202200000017;813 925;B01;2;1;0;2;0;1;5;
202200000018;813 923;Z01;2;10;0;1;4;1;3;
202200000019;813 921;B01;3;32;0;2;1;1;3;
202200000019;813 922;A01;3;14;0;2;7;10;1;
202200000020;813 919;B01;2;33;0;2;1;1;1;
202200000020;813 920;Z01;2;10;0;2;3;10;1;
202200000021;813 917;B01;3;14;0;2;3;1;6;
202200000021;813 918;A01;3;7;0;2;1;21;1;
202200000022;813 916;A01;1;7;1;0;7;1;2;
202200000023;813 915;A01;3;43;1;0;3;14;1;
202200000024;813 914;A01;1;7;0;1;1;15;1;
202200000025;813 913;A01;1;1;9;0;0;1;5;
202200000026;813 911;A01;1;30;0;2;1;1;1;
202200000026;813 912;B01;2;7;0;2;2;15;1;
202200000027;813 910;Z01;1;1;0;1;1;1;5;
202200000028;813 909;A01;2;7;0;1;7;1;3;
202200000029;813 908;A01;1;7;0;1;1;15;1;
202200000030;813 907;A01;2;7;4;0;1;26;1;
202200000031;813 906;A01;0;7;0;1;3;15;1;
202200000032;813 904;B01;3;7;0;2;4;24;1;
202200000032;813 905;A01;1;7;1;0;1;20;2;
202200000033;813 903;A01;1;7;0;1;4;4;1;
202200000034;813 901;A01;2;2;0;2;3;1;1;
202200000034;813 902;B01;2;60;0;2;3;19;5;
202200000035;813 900;A01;1;7;0;1;1;26;2;
202200000036;813 899;A01;3;10;4;0;3;1;1;
202200000037;813 898;A01;2;7;0;1;2;15;1;
202200000038;813 897;A01;3;10;0;1;3;1;1;
202200000039;813 895;A01;1;7;0;2;3;1;1;
202200000039;813 896;B01;2;7;0;2;1;15;1;
202200000040;813 894;A01;0;7;0;1;1;26;1;
202200000041;813 892;B01;3;13;0;1;1;0;1;
202200000041;813 893;A01;3;7;0;1;3;0;1;
202200000042;813 890;A01;0;10;0;2;3;1;1;
202200000042;813 891;B01;0;7;0;2;0;0;0;
202200000043;813 889;A01;1;10;9;1;2;1;1;
202200000044;813 887;B01;1;7;0;2;1;1;1;
202200000044;813 888;A01;2;7;8;2;5;15;1;
202200000045;813 885;B01;1;32;0;0;5;13;1;
202200000045;813 886;A01;1;7;0;2;3;1;1;
202200000046;813 883;B01;3;1;0;2;0;1;5;
202200000046;813 884;A01;3;7;0;2;2;1;1;
202200000047;813 881;A01;0;7;0;0;0;0;1;
202200000047;813 882;B01;0;43;0;2;0;0;1;
202200000048;813 878;B01;1;7;0;2;4;26;1;
202200000048;813 879;A01;1;7;0;2;1;1;1;
202200000048;813 880;C01;1;7;0;2;4;26;1;
202200000049;813 877;A01;0;7;14;0;9;1;1;
202200000050;813 876;A01;1;7;12;1;3;2;0;
202200000051;813 875;A01;3;60;0;0;0;26;5;
202200000052;813 874;A01;1;7;8;1;1;14;1;
202200000053;813 873;A01;1;7;0;1;3;1;1;
202200000054;813 871;A01;2;10;0;2;1;2;1;
202200000054;813 872;B01;2;10;0;2;4;1;1;
202200000055;813 870;A01;1;7;0;1;3;15;1;
202200000056;813 869;A01;0;30;0;0;0;1;1;
202200000057;813 867;B01;2;7;0;2;4;23;1;
202200000057;813 868;A01;2;7;0;2;1;1;1;
202200000058;813 865;A01;0;1;0;2;2;1;5;
202200000058;813 866;B01;0;7;0;2;5;23;2;
202200000059;813 863;A01;2;10;0;2;5;23;1;
202200000059;813 864;B01;2;50;0;2;1;19;3;
202200000060;813 861;A01;1;7;0;2;1;15;1;
202200000060;813 862;B01;2;1;0;2;7;1;5;
202200000061;813 860;A01;1;37;0;2;2;1;1;1.0
202200000062;813 858;A01;1;10;0;2;7;17;1;
202200000062;813 859;B01;1;1;0;2;0;1;5;
202200000063;813 856;B01;2;32;0;2;3;9;0;
202200000063;813 857;A01;1;3;0;2;3;15;0;
202200000064;813 854;A01;2;32;0;2;2;17;1;
202200000064;813 855;B01;2;7;0;0;6;20;1;
202200000065;813 853;A01;2;7;3;0;7;2;1;
202200000066;813 852;A01;2;32;0;0;9;1;1;
202200000067;813 851;A01;1;31;0;-1;0;0;0;
202200000068;813 850;A01;1;7;0;1;2;1;1;
202200000069;813 848;B01;2;99;0;2;2;1;1;
202200000069;813 849;A01;2;7;0;2;4;26;1;
202200000070;813 847;A01;1;14;0;1;7;1;1;
202200000071;813 846;A01;1;2;0;0;9;1;1;
202200000072;813 844;B01;1;7;0;2;1;1;1;
202200000072;813 845;A01;2;7;0;2;1;5;1;
202200000073;813 842;B01;2;14;0;2;3;1;1;
202200000073;813 843;A01;1;7;0;2;3;1;1;
202200000074;813 841;A01;1;7;15;0;9;0;1;
202200000075;813 839;A01;2;14;0;2;8;3;1;
202200000075;813 840;B01;1;7;0;2;8;1;1;
202200000076;813 837;B01;2;7;0;2;2;17;1;
202200000076;813 838;A01;2;33;0;2;3;15;1;
202200000077;813 835;A01;2;7;0;2;1;1;1;
202200000077;813 836;B01;1;7;0;2;3;16;1;
202200000078;813 834;A01;2;7;16;0;9;14;1;
202200000079;813 832;B01;1;7;0;2;1;1;1;
202200000079;813 833;A01;2;7;0;2;1;13;1;
202200000080;813 830;A01;1;7;0;2;3;1;1;
202200000080;813 831;B01;2;7;13;2;2;1;1;
202200000081;813 829;A01;2;7;0;1;2;1;1;
202200000082;813 827;A01;2;7;0;2;1;1;1;
202200000082;813 828;B01;1;17;0;2;1;1;1;
202200000083;813 825;A01;2;7;0;9;3;15;1;
202200000083;813 826;B01;1;80;0;2;1;1;3;
202200000084;813 824;A01;1;7;13;0;1;1;1;
202200000085;813 823;A01;1;7;0;0;0;21;1;
202200000086;813 822;A01;3;7;2;0;1;1;1;
202200000087;813 820;B01;1;7;0;2;3;9;1;
202200000087;813 821;A01;2;1;0;2;1;1;5;
202200000088;813 819;A01;3;7;2;0;2;1;1;
202200000089;813 818;A01;2;33;0;0;0;14;1;
202200000090;813 817;A01;2;7;13;0;1;1;1;
202200000091;813 815;B01;1;7;0;2;3;1;1;
202200000091;813 816;A01;2;7;0;2;3;13;1;
202200000092;813 811;A01;2;10;0;2;2;17;1;
202200000092;813 812;B01;2;1;0;2;6;1;5;
202200000093;813 809;B01;0;33;0;2;1;17;1;
202200000093;813 810;A01;0;7;0;9;3;13;1;
202200000094;813 808;A01;1;2;0;0;2;1;1;
202200000095;813 805;B01;3;7;0;2;1;9;1;
202200000095;813 806;A01;3;33;15;2;7;1;1;
202200000096;813 804;A01;1;7;2;0;2;14;1;
202200000097;813 801;C01;1;7;0;2;1;26;1;
202200000097;813 802;B01;2;7;0;2;9;26;1;
202200000097;813 803;A01;2;7;0;2;1;1;1;
202200000098;813 799;A01;1;7;0;2;1;1;1;
202200000098;813 800;B01;1;7;0;0;4;23;1;
202200000099;813 798;A01;1;7;0;1;3;1;1;
202200000100;813 796;B01;1;2;0;2;7;16;1;
202200000100;813 797;A01;2;33;8;2;8;1;1;
202200000101;813 795;A01;2;7;13;0;9;1;1;
202200000102;813 793;B01;1;7;0;2;1;0;1;
202200000102;813 794;A01;1;7;0;0;4;23;1;
202200000103;813 791;A01;1;7;0;2;3;13;2;
202200000103;813 792;B01;2;37;0;2;1;1;1;1.0
202200000104;813 789;A01;1;17;0;0;6;1;1;
202200000104;813 790;B01;1;10;0;2;2;17;1;
202200000105;813 788;A01;2;7;8;0;1;1;1;
202200000106;813 786;A01;1;7;1;0;1;1;1;
202200000106;813 787;B01;1;7;0;0;8;24;1;
